question_id,question,lang,category,difficulty,expected_answer,expected_citations,ground_truth_context,notes
1,What are the eligibility requirements for Canadian citizenship?,en,factual,easy,"To be eligible for Canadian citizenship, you must: be a permanent resident, have lived in Canada for at least 3 of the last 5 years, file taxes if required, pass a citizenship test, prove language skills in English or French.","citizenship-guide:12,citizenship-guide:13","Canadian citizenship eligibility requirements: 1) Be a permanent resident 2) Have been physically present in Canada for at least 1095 days (3 years) during the 5 years before applying 3) Have filed income taxes for at least 3 years during the 5-year period 4) Pass a citizenship test on Canadian history, values, institutions and symbols 5) Demonstrate adequate knowledge of English or French.",Example factual question with specific requirements
2,Comment puis-je renouveler mon passeport canadien?,fr,procedural,easy,"Pour renouveler votre passeport canadien, vous devez: remplir le formulaire de demande, fournir deux photos récentes, inclure votre ancien passeport, payer les frais de renouvellement, soumettre votre demande en ligne ou par courrier.","passport-renewal:5,passport-renewal:8","Renouvellement de passeport canadien: Vous pouvez renouveler votre passeport par la poste ou en ligne. Documents requis: formulaire de demande dûment rempli, deux photos de passeport identiques récentes, votre passeport le plus récent, preuve de citoyenneté canadienne, paiement des frais appropriés.",Example bilingual question (French) about procedures
3,What is the maximum Employment Insurance benefit period?,en,factual,medium,"The maximum number of weeks you can receive regular Employment Insurance benefits ranges from 14 to 45 weeks, depending on the unemployment rate in your region and the number of insurable hours you accumulated.","ei-benefits:23,ei-benefits:45","Employment Insurance (EI) regular benefits duration: The number of weeks of benefits you are entitled to receive depends on the unemployment rate in your economic region at the time you file your claim and the number of insurable hours you have accumulated in the qualifying period (52 weeks before your claim or since your last claim). Benefits can range from 14 weeks (if unemployment is low and you have minimum hours) to 45 weeks (if unemployment is high and you have maximum hours).",Example with variable answer depending on conditions
4,What are the requirements for sponsoring a family member for immigration?,en,procedural,hard,"To sponsor a family member, you must: be 18+ years old, be a Canadian citizen or permanent resident, prove you can financially support them, sign an undertaking to provide for their basic needs, meet income requirements for 3 consecutive years, not be in default of previous sponsorship or receiving social assistance.","family-sponsorship:15,family-sponsorship:16,family-sponsorship:28","Family Class Sponsorship Requirements: As a sponsor you must: 1) Be at least 18 years of age 2) Be a Canadian citizen, permanent resident, or registered Indian 3) Reside in Canada or intend to return when sponsored person becomes PR 4) Prove you have sufficient income to support your relatives (meet Minimum Necessary Income for 3 consecutive tax years) 5) Sign an undertaking promising to provide basic requirements for sponsored person and their dependents for 3-10 years depending on relationship 6) Not be in default of previous sponsorship undertaking, immigration loan, or court-ordered support payments 7) Not be receiving social assistance for reasons other than disability 8) Not have been convicted of violent crime, sexual offense, or offense against a relative.",Complex multi-step procedural question requiring multiple citations
5,Quelle est la politique du Canada en matière de changement climatique?,fr,policy,medium,"La politique canadienne sur le changement climatique comprend: l'objectif de carboneutralité d'ici 2050, la tarification du carbone, les investissements dans les énergies renouvelables, la réduction des émissions de 40-45% sous les niveaux de 2005 d'ici 2030, et le soutien à la transition vers une économie verte.","climate-plan:8,climate-plan:45,climate-plan:67","Plan climatique renforcé du Canada: Le gouvernement du Canada s'est engagé à réduire les émissions de gaz à effet de serre de 40 à 45 pour cent sous les niveaux de 2005 d'ici 2030 et à atteindre la carboneutralité d'ici 2050. Les mesures clés comprennent: 1) La tarification de la pollution par le carbone avec le filet de sécurité fédéral 2) Investissements dans l'énergie propre et les technologies vertes 3) Normes d'émissions pour les véhicules 4) Élimination progressive de la production d'électricité au charbon 5) Soutien aux industries pour la transition vers des pratiques durables 6) Protection et restauration des écosystèmes naturels.",Example policy question requiring synthesis across multiple pages
6,What prescription drugs are covered under the Canadian public health system?,en,factual,medium,"Prescription drug coverage in Canada varies by province and territory. Most provinces provide coverage for seniors 65+, social assistance recipients, and those with specific conditions. The federal government covers First Nations, Inuit, armed forces, veterans, and inmates. Private insurance often covers working-age adults.","healthcare-drugs:23,healthcare-drugs:45,healthcare-drugs:67","Canadian prescription drug coverage: Unlike medical and hospital services under the Canada Health Act, prescription drug coverage is not universally provided. Coverage varies significantly by province/territory. Provincial programs typically cover: 1) Seniors aged 65 and older 2) Social assistance recipients 3) Children in low-income families 4) People with specific diseases or high drug costs. Federal programs cover: Indigenous peoples (Non-Insured Health Benefits), Canadian Armed Forces, veterans, federal inmates, refugee claimants. Most working-age adults rely on employer-sponsored private insurance.",Example of complex healthcare question with federal/provincial jurisdiction
7,Quelles sont mes obligations fiscales si je travaille à distance pour une entreprise étrangère?,fr,procedural,hard,"Si vous résidez au Canada et travaillez à distance pour un employeur étranger, vous devez: déclarer tous vos revenus mondiaux à l'ARC, payer des impôts canadiens sur ces revenus, faire des versements d'acomptes provisionnels trimestriels, vérifier les conventions fiscales pour éviter la double imposition, et conserver tous les documents justificatifs.","tax-foreign-income:12,tax-foreign-income:34,tax-conventions:8","Obligations fiscales - travail à distance pour employeur étranger: Les résidents canadiens doivent déclarer leur revenu mondial, peu importe où il est gagné. Si vous travaillez à distance au Canada pour un employeur étranger: 1) Vous êtes considéré comme travailleur autonome aux fins fiscales canadiennes 2) Vous devez déclarer tous vos revenus étrangers en dollars canadiens 3) Vous devez faire des acomptes provisionnels trimestriels si vous devez plus de 3000$ en impôts 4) Vous pouvez demander un crédit pour impôt étranger payé 5) Vérifiez la convention fiscale entre le Canada et le pays de l'employeur pour éviter la double imposition 6) Conservez tous les relevés de paiement et documents de retenue d'impôt étranger.",Example of complex tax scenario requiring multi-jurisdictional understanding
8,What are the federal regulations for importing commercial goods into Canada?,en,procedural,hard,"To import commercial goods into Canada, you must: obtain a Business Number from CRA, determine the correct tariff classification, calculate duties and taxes owing, ensure goods comply with Canadian standards and regulations, submit proper documentation to CBSA, arrange for customs broker if needed, and pay all applicable duties and GST/HST at the border.","import-regulations:15,import-regulations:23,import-regulations:56,customs-tariff:12","Commercial importation requirements Canada: All commercial imports require: 1) A Business Number (BN) from Canada Revenue Agency for importing purposes 2) Proper classification of goods under the Harmonized System tariff classification 3) Completion of Form B3 (Canada Customs Coding Form) or electronic equivalent 4) Certificate of Origin if claiming preferential tariff treatment under trade agreements 5) Import permits for controlled goods 6) Compliance with all Canadian safety, health, and labeling standards 7) Payment of applicable customs duties and GST/HST 8) Additional permits may be required from other government departments for specific goods (food, plants, animals, firearms, etc.).",Complex business/trade question requiring knowledge of multiple regulations
9,What is the federal minimum wage in Canada and who does it apply to?,en,factual,medium,"The federal minimum wage in Canada is $17.30 per hour (as of April 2024). It applies to employees in federally regulated private sectors including banking, interprovincial transportation, telecommunications, and federal crown corporations. Most workers fall under provincial/territorial minimum wage laws.","labor-standards:34,labor-standards:45","Federal minimum wage Canada: As of April 1, 2024, the federal minimum wage is $17.30 per hour. This applies only to employees working in federally regulated private sectors (about 6% of Canadian workforce), which includes: banking, marine shipping, interprovincial/international transportation (rail, road, air), telecommunications, uranium mining, and certain federal Crown corporations. The federal minimum wage is adjusted annually based on inflation (Consumer Price Index). Most Canadian workers (94%) are covered by provincial or territorial minimum wage laws, which vary by jurisdiction.",Example requiring understanding of federal vs provincial jurisdiction
10,Quels sont les droits issus des traités pour les peuples autochtones du Canada?,fr,policy,hard,"Les droits issus des traités des peuples autochtones incluent: la reconnaissance constitutionnelle dans l'article 35, les droits de chasse et pêche sur les territoires traditionnels, l'accès aux terres et ressources, l'autonomie gouvernementale, la préservation culturelle et linguistique, et l'obligation de consultation de la Couronne pour tout développement affectant leurs terres.","indigenous-treaties:12,indigenous-treaties:45,constitution-act:35,indigenous-rights:23","Droits issus des traités autochtones: L'article 35 de la Loi constitutionnelle de 1982 reconnaît et confirme les droits ancestraux et issus de traités des peuples autochtones du Canada (Premières Nations, Inuits, Métis). Ces droits comprennent: 1) Droits de récolte (chasse, pêche, cueillette) sur les territoires traditionnels 2) Droits fonciers et accès aux ressources naturelles selon les traités spécifiques 3) Droit à l'autonomie gouvernementale 4) Obligation de la Couronne de consulter et accommoder les peuples autochtones pour tout projet affectant leurs droits 5) Protection des langues et cultures autochtones 6) Droits à l'éducation et services de santé. Les traités historiques (numérotés 1-11) et les traités modernes définissent des droits spécifiques qui varient selon les nations.",Complex policy question about constitutional rights requiring synthesis
